"outcome","race","age","relationship","sex","marital_status"
1," White",35," Husband"," Male"," Married-civ-spouse"
1," White",60," Husband"," Male"," Married-civ-spouse"
0," White",35," Wife"," Female"," Married-civ-spouse"
0," White",33," Unmarried"," Female"," Separated"
0," White",21," Not-in-family"," Female"," Never-married"
1," White",37," Husband"," Male"," Married-civ-spouse"
1," Black",48," Husband"," Male"," Married-civ-spouse"
0," White",58," Other-relative"," Female"," Widowed"
0," White",21," Not-in-family"," Female"," Never-married"
0," White",22," Own-child"," Male"," Never-married"
0," White",22," Unmarried"," Female"," Never-married"
1," White",28," Wife"," Female"," Married-civ-spouse"
1," White",33," Own-child"," Female"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
1," Black",58," Husband"," Male"," Married-civ-spouse"
0," White",24," Own-child"," Male"," Never-married"
0," Asian-Pac-Islander",38," Husband"," Male"," Married-civ-spouse"
0," White",49," Husband"," Male"," Married-civ-spouse"
1," White",47," Husband"," Male"," Married-civ-spouse"
1," White",50," Husband"," Male"," Married-civ-spouse"
0," White",21," Unmarried"," Female"," Never-married"
0," White",55," Not-in-family"," Female"," Separated"
0," White",47," Not-in-family"," Male"," Divorced"
0," White",19," Not-in-family"," Female"," Never-married"
0," White",47," Other-relative"," Male"," Never-married"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",28," Husband"," Male"," Married-civ-spouse"
0," Amer-Indian-Eskimo",42," Unmarried"," Female"," Widowed"
1," White",41," Not-in-family"," Female"," Never-married"
1," White",46," Husband"," Male"," Married-civ-spouse"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," Black",34," Unmarried"," Female"," Never-married"
0," White",33," Husband"," Male"," Married-civ-spouse"
1," White",60," Husband"," Male"," Married-civ-spouse"
0," White",53," Husband"," Male"," Married-civ-spouse"
0," White",24," Not-in-family"," Female"," Never-married"
1," White",39," Husband"," Male"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
1," White",50," Husband"," Male"," Married-civ-spouse"
0," White",36," Unmarried"," Female"," Divorced"
0," White",19," Own-child"," Female"," Separated"
0," White",26," Own-child"," Female"," Never-married"
1," Black",38," Husband"," Male"," Married-civ-spouse"
1," White",41," Husband"," Male"," Married-civ-spouse"
0," White",22," Other-relative"," Female"," Never-married"
1," Black",38," Not-in-family"," Female"," Never-married"
1," White",72," Husband"," Male"," Married-civ-spouse"
0," White",39," Husband"," Male"," Married-civ-spouse"
1," White",35," Husband"," Male"," Married-civ-spouse"
0," Black",38," Unmarried"," Female"," Divorced"
0," Black",19," Wife"," Female"," Married-civ-spouse"
0," White",26," Own-child"," Male"," Never-married"
0," White",52," Unmarried"," Male"," Divorced"
0," Other",41," Husband"," Male"," Married-civ-spouse"
0," White",45," Not-in-family"," Female"," Divorced"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," White",34," Not-in-family"," Male"," Never-married"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Male"," Never-married"
0," White",26," Unmarried"," Female"," Divorced"
0," White",60," Husband"," Male"," Married-civ-spouse"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",39," Not-in-family"," Female"," Divorced"
0," White",27," Unmarried"," Female"," Separated"
0," White",26," Not-in-family"," Male"," Never-married"
0," White",17," Own-child"," Male"," Never-married"
1," White",59," Husband"," Male"," Married-civ-spouse"
0," Amer-Indian-Eskimo",53," Husband"," Male"," Married-civ-spouse"
0," White",35," Not-in-family"," Male"," Divorced"
1," White",34," Husband"," Male"," Married-civ-spouse"
1," White",36," Husband"," Male"," Married-civ-spouse"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",21," Own-child"," Male"," Never-married"
0," White",29," Own-child"," Female"," Never-married"
1," White",35," Husband"," Male"," Married-civ-spouse"
1," White",59," Husband"," Male"," Married-civ-spouse"
0," White",22," Not-in-family"," Male"," Never-married"
0," White",50," Husband"," Male"," Married-civ-spouse"
0," Other",24," Not-in-family"," Female"," Never-married"
0," White",36," Not-in-family"," Female"," Divorced"
1," White",31," Wife"," Female"," Married-civ-spouse"
0," White",42," Husband"," Male"," Married-civ-spouse"
0," White",38," Unmarried"," Female"," Divorced"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," White",46," Not-in-family"," Male"," Divorced"
0," White",23," Husband"," Male"," Married-civ-spouse"
0," White",54," Husband"," Male"," Married-civ-spouse"
0," Black",27," Not-in-family"," Female"," Never-married"
0," White",42," Not-in-family"," Female"," Separated"
0," White",33," Husband"," Male"," Married-civ-spouse"
0," White",19," Not-in-family"," Female"," Never-married"
0," White",59," Wife"," Female"," Married-civ-spouse"
0," White",54," Unmarried"," Female"," Widowed"
0," White",48," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Male"," Never-married"
0," White",45," Not-in-family"," Female"," Divorced"
0," White",36," Not-in-family"," Male"," Never-married"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",47," Not-in-family"," Female"," Divorced"
0," White",33," Not-in-family"," Male"," Never-married"
0," White",48," Husband"," Male"," Married-civ-spouse"
0," Black",42," Unmarried"," Female"," Separated"
0," White",19," Own-child"," Male"," Never-married"
0," White",64," Husband"," Male"," Married-civ-spouse"
0," White",51," Husband"," Male"," Married-civ-spouse"
0," White",20," Other-relative"," Male"," Never-married"
0," White",28," Not-in-family"," Male"," Never-married"
1," White",52," Husband"," Male"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Never-married"
0," White",51," Not-in-family"," Male"," Separated"
0," White",36," Husband"," Male"," Married-civ-spouse"
1," White",43," Husband"," Male"," Married-civ-spouse"
0," White",52," Husband"," Male"," Married-civ-spouse"
1," White",50," Not-in-family"," Male"," Divorced"
0," White",25," Not-in-family"," Male"," Divorced"
0," Black",36," Unmarried"," Female"," Never-married"
0," White",44," Wife"," Female"," Married-civ-spouse"
0," Black",47," Not-in-family"," Male"," Married-spouse-absent"
0," White",32," Own-child"," Male"," Divorced"
0," Asian-Pac-Islander",37," Unmarried"," Male"," Never-married"
0," White",40," Husband"," Male"," Married-civ-spouse"
0," White",34," Husband"," Male"," Married-civ-spouse"
1," White",35," Husband"," Male"," Married-civ-spouse"
0," White",26," Own-child"," Male"," Never-married"
0," White",49," Husband"," Male"," Married-civ-spouse"
1," White",63," Husband"," Male"," Married-civ-spouse"
0," White",46," Not-in-family"," Male"," Married-spouse-absent"
0," Black",31," Own-child"," Male"," Never-married"
0," White",22," Not-in-family"," Male"," Never-married"
0," White",20," Not-in-family"," Female"," Never-married"
1," White",52," Not-in-family"," Male"," Never-married"
0," Black",26," Not-in-family"," Female"," Never-married"
1," White",34," Husband"," Male"," Married-civ-spouse"
0," White",31," Not-in-family"," Male"," Never-married"
0," White",46," Unmarried"," Female"," Divorced"
0," White",22," Husband"," Male"," Married-civ-spouse"
0," White",38," Own-child"," Male"," Never-married"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",27," Not-in-family"," Male"," Never-married"
0," White",27," Husband"," Male"," Married-civ-spouse"
0," White",46," Unmarried"," Female"," Divorced"
0," White",40," Not-in-family"," Female"," Never-married"
0," White",19," Own-child"," Male"," Never-married"
1," White",69," Husband"," Male"," Married-civ-spouse"
0," White",20," Own-child"," Male"," Never-married"
0," White",34," Husband"," Male"," Married-civ-spouse"
1," White",49," Husband"," Male"," Married-civ-spouse"
0," Other",27," Husband"," Male"," Married-civ-spouse"
1," White",59," Wife"," Female"," Married-civ-spouse"
1," White",45," Husband"," Male"," Married-civ-spouse"
0," White",21," Own-child"," Female"," Never-married"
0," White",51," Unmarried"," Female"," Divorced"
0," White",64," Unmarried"," Male"," Never-married"
1," White",41," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",18," Own-child"," Female"," Never-married"
0," White",49," Not-in-family"," Male"," Married-spouse-absent"
0," Black",51," Own-child"," Male"," Divorced"
0," White",20," Own-child"," Female"," Never-married"
0," White",69," Husband"," Male"," Married-civ-spouse"
0," White",18," Own-child"," Female"," Never-married"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," Black",50," Unmarried"," Female"," Divorced"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," White",27," Own-child"," Male"," Never-married"
0," White",38," Husband"," Male"," Married-civ-spouse"
1," White",62," Husband"," Male"," Married-civ-spouse"
0," White",46," Not-in-family"," Male"," Divorced"
0," White",19," Own-child"," Female"," Never-married"
0," White",17," Own-child"," Male"," Never-married"
0," White",21," Unmarried"," Female"," Never-married"
0," White",36," Not-in-family"," Female"," Never-married"
0," White",36," Not-in-family"," Male"," Divorced"
0," Asian-Pac-Islander",23," Own-child"," Male"," Never-married"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," White",40," Husband"," Male"," Married-civ-spouse"
0," White",64," Wife"," Female"," Married-civ-spouse"
0," White",66," Husband"," Male"," Married-civ-spouse"
0," White",42," Husband"," Male"," Married-civ-spouse"
0," White",55," Unmarried"," Female"," Widowed"
1," White",53," Husband"," Male"," Married-civ-spouse"
0," White",25," Husband"," Male"," Married-civ-spouse"
0," Black",39," Unmarried"," Female"," Never-married"
0," White",20," Own-child"," Male"," Never-married"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," White",28," Unmarried"," Male"," Never-married"
0," White",23," Own-child"," Female"," Never-married"
0," White",18," Own-child"," Male"," Never-married"
1," White",43," Husband"," Male"," Married-civ-spouse"
0," White",29," Husband"," Male"," Married-civ-spouse"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," White",31," Unmarried"," Male"," Divorced"
0," White",60," Husband"," Male"," Married-civ-spouse"
0," White",42," Husband"," Male"," Married-civ-spouse"
1," White",46," Husband"," Male"," Married-civ-spouse"
1," White",38," Husband"," Male"," Married-civ-spouse"
0," White",18," Own-child"," Female"," Never-married"
0," White",31," Own-child"," Female"," Never-married"
0," White",54," Husband"," Male"," Married-civ-spouse"
0," White",46," Husband"," Male"," Married-civ-spouse"
0," White",27," Own-child"," Male"," Never-married"
1," White",50," Husband"," Male"," Married-civ-spouse"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",36," Own-child"," Female"," Never-married"
0," White",25," Not-in-family"," Male"," Divorced"
0," White",19," Own-child"," Male"," Never-married"
0," Asian-Pac-Islander",60," Husband"," Male"," Married-civ-spouse"
0," White",45," Own-child"," Male"," Never-married"
0," White",21," Own-child"," Male"," Never-married"
0," White",42," Not-in-family"," Male"," Divorced"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",22," Own-child"," Male"," Never-married"
0," Black",19," Not-in-family"," Male"," Never-married"
0," White",23," Own-child"," Male"," Never-married"
0," White",24," Own-child"," Female"," Never-married"
0," White",30," Not-in-family"," Male"," Divorced"
0," White",62," Husband"," Male"," Married-civ-spouse"
0," White",26," Own-child"," Male"," Never-married"
1," White",42," Husband"," Male"," Married-civ-spouse"
0," White",33," Husband"," Male"," Married-civ-spouse"
1," White",54," Husband"," Male"," Married-civ-spouse"
0," White",35," Unmarried"," Female"," Divorced"
0," White",33," Not-in-family"," Male"," Divorced"
0," White",45," Not-in-family"," Female"," Divorced"
1," White",62," Wife"," Female"," Married-civ-spouse"
0," White",24," Own-child"," Male"," Never-married"
0," Black",50," Not-in-family"," Female"," Divorced"
1," White",54," Husband"," Male"," Married-civ-spouse"
0," White",58," Own-child"," Male"," Divorced"
0," White",39," Husband"," Male"," Married-civ-spouse"
0," White",32," Unmarried"," Male"," Divorced"
0," White",27," Husband"," Male"," Married-civ-spouse"
0," White",27," Husband"," Male"," Married-civ-spouse"
0," White",20," Own-child"," Male"," Never-married"
0," White",64," Husband"," Male"," Married-civ-spouse"
0," White",55," Not-in-family"," Female"," Widowed"
0," White",46," Not-in-family"," Female"," Divorced"
0," White",45," Husband"," Male"," Married-civ-spouse"
0," White",26," Not-in-family"," Male"," Never-married"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",25," Not-in-family"," Female"," Never-married"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," White",39," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",47," Not-in-family"," Female"," Widowed"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",50," Husband"," Male"," Married-civ-spouse"
0," White",36," Unmarried"," Female"," Divorced"
0," White",28," Other-relative"," Male"," Never-married"
0," White",44," Wife"," Female"," Married-civ-spouse"
0," White",40," Unmarried"," Female"," Divorced"
1," White",55," Husband"," Male"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Never-married"
0," White",33," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Female"," Never-married"
1," White",32," Husband"," Male"," Married-civ-spouse"
1," Black",45," Husband"," Male"," Married-civ-spouse"
0," White",23," Own-child"," Male"," Never-married"
0," Black",31," Own-child"," Male"," Never-married"
0," Asian-Pac-Islander",22," Not-in-family"," Female"," Never-married"
0," Black",59," Not-in-family"," Male"," Divorced"
0," White",32," Not-in-family"," Male"," Never-married"
0," White",49," Not-in-family"," Female"," Never-married"
0," White",22," Own-child"," Male"," Never-married"
0," White",26," Not-in-family"," Male"," Never-married"
0," Asian-Pac-Islander",23," Husband"," Male"," Married-civ-spouse"
0," White",55," Wife"," Female"," Married-civ-spouse"
1," White",47," Husband"," Male"," Married-civ-spouse"
0," White",44," Husband"," Male"," Married-civ-spouse"
0," White",27," Not-in-family"," Male"," Never-married"
1," White",40," Wife"," Female"," Married-civ-spouse"
1," White",32," Wife"," Female"," Married-civ-spouse"
0," Asian-Pac-Islander",20," Other-relative"," Male"," Never-married"
0," White",84," Not-in-family"," Female"," Widowed"
0," White",40," Other-relative"," Male"," Divorced"
0," White",37," Not-in-family"," Female"," Never-married"
0," White",44," Own-child"," Male"," Divorced"
0," White",47," Unmarried"," Female"," Divorced"
0," White",62," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Female"," Never-married"
0," White",47," Not-in-family"," Male"," Never-married"
0," Black",44," Unmarried"," Male"," Divorced"
0," White",26," Husband"," Male"," Married-civ-spouse"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," White",33," Unmarried"," Female"," Divorced"
0," White",48," Husband"," Male"," Married-civ-spouse"
0," Black",33," Husband"," Male"," Married-civ-spouse"
0," White",25," Husband"," Male"," Married-civ-spouse"
0," White",62," Husband"," Male"," Married-civ-spouse"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",46," Not-in-family"," Male"," Married-spouse-absent"
0," White",18," Own-child"," Female"," Never-married"
1," White",46," Husband"," Male"," Married-civ-spouse"
0," White",38," Unmarried"," Female"," Divorced"
1," White",52," Husband"," Male"," Married-civ-spouse"
0," White",63," Husband"," Male"," Married-civ-spouse"
0," White",49," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Female"," Never-married"
0," White",33," Not-in-family"," Female"," Never-married"
0," White",70," Other-relative"," Female"," Widowed"
0," White",19," Own-child"," Female"," Never-married"
1," White",27," Wife"," Female"," Married-civ-spouse"
0," White",61," Husband"," Male"," Married-civ-spouse"
1," White",33," Husband"," Male"," Married-civ-spouse"
1," White",46," Husband"," Male"," Married-civ-spouse"
0," White",29," Unmarried"," Female"," Separated"
0," White",40," Unmarried"," Male"," Divorced"
1," White",43," Husband"," Male"," Married-civ-spouse"
0," White",24," Not-in-family"," Male"," Never-married"
0," White",29," Husband"," Male"," Married-civ-spouse"
0," Black",61," Wife"," Female"," Married-civ-spouse"
0," White",48," Not-in-family"," Female"," Divorced"
0," White",19," Own-child"," Male"," Never-married"
0," White",30," Not-in-family"," Female"," Never-married"
0," White",24," Not-in-family"," Male"," Never-married"
0," White",39," Unmarried"," Female"," Never-married"
0," White",46," Unmarried"," Female"," Divorced"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," White",27," Own-child"," Female"," Never-married"
0," White",25," Own-child"," Female"," Never-married"
0," White",31," Not-in-family"," Male"," Never-married"
0," White",58," Not-in-family"," Male"," Divorced"
1," White",33," Wife"," Female"," Married-civ-spouse"
0," White",40," Unmarried"," Female"," Widowed"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," White",31," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",33," Unmarried"," Female"," Separated"
0," White",49," Husband"," Male"," Married-civ-spouse"
0," White",24," Own-child"," Male"," Never-married"
0," White",46," Unmarried"," Male"," Never-married"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," White",20," Own-child"," Female"," Never-married"
0," White",65," Unmarried"," Male"," Widowed"
0," White",43," Wife"," Female"," Married-civ-spouse"
0," Asian-Pac-Islander",48," Husband"," Male"," Married-civ-spouse"
0," White",41," Husband"," Male"," Married-civ-spouse"
0," White",27," Not-in-family"," Female"," Separated"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",26," Other-relative"," Male"," Never-married"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," White",52," Not-in-family"," Female"," Divorced"
0," Black",19," Own-child"," Male"," Never-married"
0," White",39," Own-child"," Female"," Divorced"
0," White",47," Unmarried"," Female"," Divorced"
0," Other",27," Other-relative"," Male"," Divorced"
0," White",48," Not-in-family"," Male"," Divorced"
0," White",50," Unmarried"," Female"," Separated"
0," White",60," Husband"," Male"," Married-civ-spouse"
1," White",28," Husband"," Male"," Married-civ-spouse"
0," Black",47," Unmarried"," Female"," Divorced"
0," White",69," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",40," Husband"," Male"," Married-civ-spouse"
0," White",37," Unmarried"," Female"," Never-married"
0," White",41," Not-in-family"," Male"," Never-married"
0," Asian-Pac-Islander",38," Husband"," Male"," Married-civ-spouse"
0," Other",46," Not-in-family"," Female"," Separated"
0," White",21," Own-child"," Male"," Never-married"
0," White",44," Unmarried"," Female"," Separated"
0," White",38," Own-child"," Male"," Separated"
1," White",47," Wife"," Female"," Married-civ-spouse"
1," White",42," Not-in-family"," Male"," Married-spouse-absent"
0," White",42," Not-in-family"," Male"," Divorced"
1," White",56," Not-in-family"," Female"," Never-married"
0," White",32," Own-child"," Male"," Never-married"
0," White",24," Husband"," Male"," Married-civ-spouse"
0," White",26," Husband"," Male"," Married-civ-spouse"
0," Black",36," Not-in-family"," Female"," Never-married"
0," White",49," Not-in-family"," Male"," Never-married"
1," White",65," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",73," Not-in-family"," Female"," Divorced"
0," White",34," Husband"," Male"," Married-civ-spouse"
0," White",22," Own-child"," Female"," Never-married"
0," White",49," Unmarried"," Female"," Never-married"
0," Black",25," Unmarried"," Female"," Never-married"
0," White",39," Husband"," Male"," Married-civ-spouse"
0," White",19," Not-in-family"," Male"," Never-married"
0," White",24," Wife"," Female"," Married-civ-spouse"
0," White",34," Unmarried"," Female"," Divorced"
0," White",35," Own-child"," Female"," Widowed"
0," White",21," Other-relative"," Male"," Never-married"
0," White",43," Unmarried"," Female"," Divorced"
0," Asian-Pac-Islander",35," Not-in-family"," Male"," Never-married"
0," Black",39," Unmarried"," Female"," Divorced"
1," White",48," Husband"," Male"," Married-civ-spouse"
0," Black",33," Not-in-family"," Male"," Never-married"
0," White",19," Own-child"," Female"," Never-married"
0," White",17," Unmarried"," Female"," Never-married"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," White",62," Not-in-family"," Female"," Widowed"
1," Black",53," Not-in-family"," Female"," Divorced"
1," White",45," Husband"," Male"," Married-civ-spouse"
0," Black",47," Not-in-family"," Female"," Divorced"
0," Black",30," Own-child"," Female"," Never-married"
0," White",53," Not-in-family"," Female"," Separated"
0," Black",24," Own-child"," Female"," Separated"
0," White",41," Husband"," Male"," Married-civ-spouse"
0," Black",58," Other-relative"," Female"," Divorced"
0," White",27," Not-in-family"," Male"," Divorced"
0," White",63," Not-in-family"," Female"," Divorced"
0," White",50," Own-child"," Male"," Divorced"
1," Black",43," Not-in-family"," Female"," Never-married"
0," White",29," Not-in-family"," Male"," Never-married"
0," White",41," Husband"," Male"," Married-civ-spouse"
0," White",55," Husband"," Male"," Married-civ-spouse"
0," White",36," Not-in-family"," Male"," Never-married"
0," White",23," Own-child"," Male"," Never-married"
1," White",22," Not-in-family"," Male"," Never-married"
0," White",58," Not-in-family"," Male"," Divorced"
0," Black",25," Own-child"," Female"," Never-married"
0," White",40," Wife"," Female"," Married-civ-spouse"
0," White",38," Not-in-family"," Female"," Never-married"
1," White",37," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Female"," Never-married"
0," White",55," Not-in-family"," Male"," Never-married"
1," White",55," Husband"," Male"," Married-civ-spouse"
0," White",28," Not-in-family"," Male"," Never-married"
0," White",53," Husband"," Male"," Married-civ-spouse"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," White",60," Unmarried"," Male"," Divorced"
0," White",32," Unmarried"," Female"," Divorced"
0," White",34," Husband"," Male"," Married-civ-spouse"
1," White",49," Not-in-family"," Male"," Divorced"
0," White",21," Other-relative"," Female"," Never-married"
0," Black",24," Not-in-family"," Female"," Never-married"
0," Black",53," Not-in-family"," Female"," Divorced"
0," White",29," Husband"," Male"," Married-civ-spouse"
0," White",34," Not-in-family"," Female"," Married-spouse-absent"
0," Asian-Pac-Islander",52," Unmarried"," Female"," Married-spouse-absent"
0," White",41," Wife"," Female"," Married-civ-spouse"
0," White",21," Not-in-family"," Female"," Never-married"
1," White",43," Husband"," Male"," Married-civ-spouse"
0," White",31," Own-child"," Male"," Never-married"
0," White",38," Husband"," Male"," Married-civ-spouse"
1," White",42," Husband"," Male"," Married-civ-spouse"
0," White",62," Not-in-family"," Male"," Never-married"
0," Amer-Indian-Eskimo",51," Not-in-family"," Female"," Widowed"
0," Black",30," Unmarried"," Female"," Never-married"
0," White",24," Husband"," Male"," Married-civ-spouse"
0," White",36," Not-in-family"," Male"," Divorced"
0," White",57," Husband"," Male"," Married-civ-spouse"
1," White",46," Husband"," Male"," Married-civ-spouse"
0," White",33," Husband"," Male"," Married-civ-spouse"
0," White",42," Not-in-family"," Male"," Never-married"
0," White",62," Husband"," Male"," Married-civ-spouse"
0," White",64," Husband"," Male"," Married-civ-spouse"
0," White",18," Own-child"," Female"," Never-married"
0," White",43," Unmarried"," Male"," Married-spouse-absent"
0," White",62," Not-in-family"," Female"," Widowed"
0," White",29," Husband"," Male"," Married-civ-spouse"
1," Black",43," Husband"," Male"," Married-civ-spouse"
1," White",39," Husband"," Male"," Married-civ-spouse"
0," White",69," Husband"," Male"," Married-civ-spouse"
0," White",34," Wife"," Female"," Married-civ-spouse"
1," White",44," Husband"," Male"," Married-civ-spouse"
0," White",25," Not-in-family"," Male"," Never-married"
0," White",47," Unmarried"," Male"," Divorced"
0," White",17," Own-child"," Male"," Never-married"
0," White",41," Unmarried"," Male"," Divorced"
0," White",19," Own-child"," Male"," Never-married"
0," Other",57," Husband"," Male"," Married-civ-spouse"
0," Black",25," Unmarried"," Male"," Never-married"
1," White",37," Husband"," Male"," Married-civ-spouse"
0," White",29," Husband"," Male"," Married-civ-spouse"
0," White",32," Own-child"," Male"," Never-married"
1," White",35," Husband"," Male"," Married-civ-spouse"
0," White",52," Not-in-family"," Male"," Never-married"
0," White",41," Own-child"," Female"," Never-married"
0," White",29," Not-in-family"," Female"," Married-spouse-absent"
0," White",23," Own-child"," Female"," Never-married"
0," White",31," Husband"," Male"," Married-civ-spouse"
0," White",40," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Female"," Never-married"
0," White",21," Own-child"," Male"," Never-married"
1," White",37," Not-in-family"," Female"," Never-married"
1," White",49," Husband"," Male"," Married-civ-spouse"
0," White",64," Wife"," Female"," Married-civ-spouse"
0," White",37," Not-in-family"," Female"," Never-married"
1," White",70," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",22," Own-child"," Male"," Never-married"
0," Asian-Pac-Islander",29," Husband"," Male"," Married-civ-spouse"
0," White",37," Husband"," Male"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Never-married"
0," White",38," Not-in-family"," Male"," Divorced"
0," White",27," Not-in-family"," Male"," Never-married"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," White",60," Wife"," Female"," Married-civ-spouse"
0," White",20," Not-in-family"," Male"," Never-married"
1," White",51," Husband"," Male"," Married-civ-spouse"
0," White",37," Husband"," Male"," Married-civ-spouse"
1," White",22," Not-in-family"," Male"," Never-married"
0," White",56," Husband"," Male"," Married-civ-spouse"
1," White",26," Wife"," Female"," Married-civ-spouse"
0," White",19," Unmarried"," Female"," Separated"
0," White",37," Wife"," Female"," Married-civ-spouse"
0," White",27," Not-in-family"," Female"," Never-married"
0," Amer-Indian-Eskimo",27," Own-child"," Male"," Never-married"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," Black",45," Unmarried"," Female"," Separated"
0," Amer-Indian-Eskimo",28," Own-child"," Male"," Never-married"
0," White",20," Not-in-family"," Female"," Divorced"
0," White",28," Not-in-family"," Female"," Never-married"
0," Black",44," Husband"," Male"," Married-civ-spouse"
0," White",30," Husband"," Male"," Married-civ-spouse"
0," Black",26," Own-child"," Female"," Never-married"
0," White",55," Husband"," Male"," Married-civ-spouse"
0," White",46," Not-in-family"," Female"," Never-married"
0," White",51," Husband"," Male"," Married-civ-spouse"
0," White",25," Not-in-family"," Female"," Never-married"
0," White",43," Not-in-family"," Male"," Separated"
0," White",19," Own-child"," Female"," Never-married"
0," White",36," Not-in-family"," Male"," Divorced"
0," White",36," Not-in-family"," Male"," Never-married"
0," Asian-Pac-Islander",48," Unmarried"," Female"," Never-married"
0," White",30," Unmarried"," Male"," Never-married"
1," White",24," Husband"," Male"," Married-civ-spouse"
0," White",30," Unmarried"," Female"," Divorced"
1," White",24," Wife"," Female"," Married-civ-spouse"
0," White",62," Husband"," Male"," Married-civ-spouse"
0," White",41," Not-in-family"," Male"," Divorced"
1," White",49," Husband"," Male"," Married-civ-spouse"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",47," Unmarried"," Female"," Divorced"
0," White",49," Not-in-family"," Female"," Divorced"
0," White",52," Not-in-family"," Male"," Never-married"
1," White",52," Husband"," Male"," Married-civ-spouse"
0," White",26," Not-in-family"," Male"," Never-married"
0," White",51," Not-in-family"," Male"," Never-married"
0," White",18," Own-child"," Male"," Never-married"
0," White",30," Other-relative"," Male"," Never-married"
0," White",46," Not-in-family"," Male"," Divorced"
0," Black",28," Own-child"," Female"," Never-married"
1," White",48," Husband"," Male"," Married-civ-spouse"
1," White",62," Wife"," Female"," Married-civ-spouse"
0," White",49," Husband"," Male"," Married-civ-spouse"
0," White",69," Not-in-family"," Female"," Widowed"
1," White",35," Not-in-family"," Male"," Never-married"
0," Asian-Pac-Islander",78," Unmarried"," Male"," Widowed"
1," White",61," Husband"," Male"," Married-civ-spouse"
0," White",24," Not-in-family"," Female"," Never-married"
0," White",29," Own-child"," Female"," Never-married"
0," Other",36," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Male"," Never-married"
1," Black",27," Husband"," Male"," Married-civ-spouse"
0," White",64," Husband"," Male"," Married-civ-spouse"
0," White",33," Not-in-family"," Male"," Never-married"
0," White",32," Other-relative"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Female"," Never-married"
0," White",42," Husband"," Male"," Married-civ-spouse"
0," White",24," Own-child"," Female"," Never-married"
0," Black",23," Not-in-family"," Male"," Never-married"
0," White",51," Not-in-family"," Male"," Never-married"
0," White",31," Not-in-family"," Male"," Never-married"
1," White",44," Husband"," Male"," Married-civ-spouse"
1," White",38," Not-in-family"," Female"," Never-married"
1," White",44," Not-in-family"," Female"," Divorced"
0," White",44," Husband"," Male"," Married-civ-spouse"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",36," Unmarried"," Female"," Divorced"
